ADAPLAN,BIKERACK,DESTINAT_A,DESTINAT_B,DESTINAT_C,DESTINAT_D,EQPLAN,FARMEBT,FARMMRKT,FARMPOLICY_A,FARMPOLICY_B,FARMPOLICY_C,FARMPOLICY_D,FARMPOLICY_E,FEMMAT,FEMWEEK,FEMWORK,FOODCOUN,FOODSEC,GENMANDATE,GENPLAN,GENPLANUP,GENPLANYR,GOVSTRUCT_A,GOVSTRUCT_B,GOVSTRUCT_C,GOVSTRUCT_D,GOVSTRUCT_E,GOVSTRUCT_F,HEALTHFOOD_A,HEALTHFOOD_B,HEALTHFOOD_C,HLTHFOODLOW,LEADTEST,LOCALTAC,LOWINCOME,NR_adj_wt,OBPLAN_A,OBPLAN_B,OBPLAN_C,OBPLAN_D,OBPLAN_E,OBPLAN_F,OBPLAN_G,OTHAGREE,OTHCONTRACT,OTHFOOD,OTHGOV,OTHOWN,OTHPLAN_A,OTHPLAN_B,OTHPLAN_C,OTHPLAN_D,OTHPLAN_E,OTHSERVE,PAGOV_A,PAGOV_B,PAGOV_C,PARKPOL_A,PARKPOL_B,PARKPOL_C,PARKPOL_D,PARKPOL_E,PARKPOL_F,PHCOUNC_A,PHCOUNC_B,POPULATIONSIZE,POVERTY_BINARY,PUBAUTH,PUBCOMM_A,PUBCOMM_B,PUBCOMM_C,PUBCOMM_D,PUBCOMM_E,PUBCURRENT,PUBDEMAND,PUBLOC_A,PUBLOC_B,PUBLOC_C,PUBLOC_D,PUBLOC_E,PUBMODES,PUBMULTI,PUBSPECS,PUBTOD,PUBTRANS,REGION,REPTAC_A,REPTAC_B,SCHDOOR,SCHJOINT,SCHREC,SNAP,STOREOPEN_A,STOREOPEN_B,STOREOPEN_C,STRATUMC,STREETADOPT,STREETCOMP,STREETFORM,STREETGOV,STREETMEAS,STREETREVISE,STREETZERO,SU_ID,ZONECODE_A,ZONECODE_B,ZONECODE_C,ZONECODE_D,ZONECODE_E,ZONECODE_F,ZONECODE_G,ZONELOC,ZONEPOL,ZONEREM,ZONEREP_A,ZONEREP_B
1,2,97,97,97,97,4,2,1,1,2,2,2,2,77,97,77,97,77,2,1,1,4,1,1,1,1,2,2,2,2,2,97,1,2,97,5.6249092315,1,77,1,1,2,2,2,97,97,1,2,97,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,97,97,2,2,3,1,2,2,2,77,1,2,77,77,77,77,77,2,2,2,2,1,2,97,97,1,1,1,2,2,2,2,2,97,2,2,97,97,97,2,21001905,2,2,1,2,2,1,2,1,2,2,2,1
77,1,97,97,97,97,2,97,3,2,2,2,2,1,1,3,1,77,1,1,1,1,5,1,1,1,1,2,2,2,2,2,97,77,2,97,5.6249092315,1,1,1,1,1,2,77,97,97,2,97,97,1,1,1,1,77,2,1,1,1,1,1,1,1,1,1,77,1,2,2,1,1,2,1,1,98,1,2,1,1,1,1,1,1,1,1,1,1,2,97,97,3,1,1,77,2,2,2,2,97,77,2,97,97,97,77,21001906,2,2,1,1,1,1,2,1,1,1,2,1
1,2,97,97,97,97,4,2,1,1,2,2,2,2,2,97,1,97,2,2,1,4,1,1,1,2,1,2,2,2,2,2,97,1,2,97,5.6249092315,1,1,1,1,1,2,1,97,97,2,97,97,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,97,97,2,2,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,1,21001907,2,2,2,2,1,1,2,1,2,3,2,1
2,1,97,97,97,97,4,1,1,2,1,2,1,2,2,97,2,97,2,2,1,4,1,2,1,2,1,2,2,1,2,2,2,1,2,2,5.6249092315,2,2,1,2,1,2,1,97,97,2,97,97,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,97,97,2,2,2,1,2,2,2,98,1,2,1,1,1,1,1,97,2,1,2,2,2,97,97,97,97,2,1,1,1,2,2,97,2,2,97,97,97,2,21001909,2,2,2,2,2,1,2,1,2,2,2,2
3,2,97,97,97,97,4,2,1,1,2,2,2,2,2,97,1,1,1,2,1,1,4,2,1,1,1,2,2,2,2,2,97,1,2,2,5.6249092315,2,2,1,1,1,2,2,97,97,2,97,97,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,97,2,2,2,2,2,97,97,3,1,1,2,1,1,2,2,97,2,2,97,97,97,2,21001910,2,2,1,2,2,1,2,1,2,2,2,2
77,1,97,97,97,97,4,2,1,1,2,2,2,2,2,97,1,97,2,2,1,1,3,1,1,1,1,2,2,2,2,2,97,77,2,2,5.6249092315,77,77,1,1,1,2,1,97,97,2,97,2,1,77,1,2,2,1,2,2,2,1,2,1,1,1,1,97,97,2,2,3,97,97,97,97,97,3,2,97,97,97,97,97,2,97,97,97,1,2,97,97,1,2,1,2,1,1,1,2,97,77,2,97,97,97,2,21001911,2,98,1,2,2,1,2,1,2,2,2,2
77,2,97,97,97,97,2,2,1,1,2,2,2,2,2,97,2,2,1,77,1,2,5,2,2,2,1,2,2,2,2,2,97,2,1,97,5.6249092315,1,2,2,2,2,2,2,97,97,2,97,97,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,3,1,2,2,2,2,1,2,3,3,3,3,3,97,2,2,2,2,2,1,1,97,97,2,2,2,2,2,2,2,1,2,1,2,2,2,21001912,2,2,1,2,2,2,2,1,2,3,2,1
2,2,97,97,97,97,77,97,3,2,2,2,2,2,1,4,2,97,2,1,1,1,1,2,1,2,2,2,2,2,2,2,97,2,2,2,5.6249092315,1,1,1,1,2,2,2,97,97,2,97,97,1,1,1,2,2,2,1,77,77,1,1,1,1,2,1,97,97,2,2,3,97,97,97,97,97,3,2,97,97,97,97,97,2,97,97,97,1,2,97,97,1,1,1,2,2,2,1,2,97,2,2,97,97,97,2,21001913,98,1,1,1,2,1,2,1,2,3,2,2
3,2,97,97,97,97,4,2,1,2,2,2,2,2,2,97,2,97,2,97,2,97,97,2,1,2,1,2,2,2,2,2,97,1,2,3,6.6220824902,1,2,1,2,2,2,2,97,97,1,2,97,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,97,97,3,2,3,1,2,2,2,2,1,2,2,2,2,2,2,97,2,2,2,2,2,97,97,97,97,2,2,1,1,2,2,1,1,2,1,2,1,2,21001914,2,2,1,1,2,2,2,1,2,3,2,2
3,77,97,97,97,97,4,97,3,2,2,2,2,2,98,97,98,97,2,1,1,1,5,1,1,1,1,2,2,2,2,2,97,2,2,97,6.6220824902,1,2,1,2,2,2,1,97,97,2,97,97,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,97,97,3,2,1,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,2,97,97,97,97,3,2,2,2,77,2,97,77,2,97,97,97,77,21001915,2,2,1,2,2,2,2,1,2,2,2,1
3,2,1,1,1,1,4,2,1,1,1,2,1,2,2,97,1,97,2,2,1,1,5,1,1,1,1,2,2,1,2,2,2,1,1,2,5.6249092315,1,1,1,1,1,2,1,97,97,1,2,97,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,97,97,2,2,3,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,3,1,1,2,1,1,2,2,1,1,2,1,2,1,2,21001916,1,1,1,1,1,1,1,1,1,2,2,1
3,2,97,97,97,97,4,97,3,1,2,2,2,2,2,97,1,97,77,1,1,1,5,1,1,2,2,2,2,2,2,2,97,2,1,97,5.6249092315,1,1,1,1,1,1,2,97,97,2,97,97,1,1,1,1,77,2,1,2,2,1,2,1,1,2,2,97,97,2,2,2,1,2,2,1,2,1,2,1,3,1,1,1,97,1,2,2,2,2,2,2,97,97,2,2,2,2,2,2,97,2,2,97,97,97,2,21001917,1,1,1,1,1,1,2,1,2,3,2,2
1,2,1,77,1,77,77,2,1,2,2,2,2,2,2,97,1,77,1,77,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,5.6249092315,1,77,1,2,1,1,77,97,97,2,97,97,77,77,1,2,2,2,2,2,2,1,1,1,1,77,77,77,77,2,2,1,97,97,97,97,97,3,1,97,97,97,97,97,2,97,97,97,1,2,97,97,97,97,2,2,1,1,2,2,97,2,2,97,97,97,2,21001921,2,2,1,2,2,1,2,1,1,1,2,2
1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,97,1,1,1,1,1,4,4,1,1,1,1,2,2,2,2,2,97,2,1,2,5.6249092315,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,2,2,2,3,1,2,1,2,5,2,21001922,1,1,1,1,1,1,2,1,2,2,2,1
77,1,97,97,97,97,3,2,1,1,2,2,1,2,1,3,77,97,77,1,1,1,5,1,1,1,1,2,2,2,2,2,97,2,77,2,5.6249092315,1,1,1,1,1,2,2,97,97,2,97,97,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,97,97,2,2,2,1,2,2,1,98,1,2,2,2,2,2,2,97,1,2,1,2,2,97,97,97,97,77,2,1,1,2,2,2,1,2,1,1,2,77,21001926,2,1,1,1,1,1,2,1,2,2,2,2
1,2,1,1,1,1,77,1,1,2,2,2,1,1,2,97,1,2,1,2,1,4,2,2,1,2,1,2,2,2,2,2,97,1,1,1,5.6249092315,1,1,1,1,2,2,2,97,97,1,2,97,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,98,1,1,1,2,3,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,21001928,2,2,2,2,2,1,2,1,2,1,2,1
77,2,97,97,97,97,77,2,1,1,2,2,2,2,77,97,1,97,2,77,1,77,77,2,1,1,1,2,2,2,2,2,97,77,2,3,5.6249092315,77,77,77,77,77,77,77,97,97,2,97,97,1,2,1,1,2,2,1,2,2,77,77,1,77,2,2,97,97,2,2,1,1,2,2,1,98,1,2,1,2,1,1,2,97,98,2,2,2,2,97,97,97,97,77,2,1,1,2,2,97,77,77,97,97,97,2,21001932,2,2,2,2,2,1,2,1,2,2,2,1
77,1,97,97,97,97,77,77,1,1,77,77,77,77,77,97,77,97,77,1,1,1,1,2,1,1,1,2,2,2,2,2,97,77,2,97,5.6249092315,1,1,1,1,2,2,2,97,97,2,97,97,1,1,1,1,2,2,1,1,77,1,1,1,1,1,1,97,97,2,2,77,97,97,97,97,97,3,77,97,97,97,97,97,77,97,97,97,1,2,97,97,77,1,1,77,2,77,77,2,77,1,77,77,1,77,77,21001933,2,1,1,1,2,1,2,1,77,77,2,2
2,2,97,97,97,97,4,97,3,1,2,2,2,2,2,97,2,97,2,2,1,1,5,2,1,2,1,2,2,2,2,2,97,1,2,97,5.6249092315,1,2,1,1,2,2,2,97,97,2,97,97,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,97,97,2,2,2,1,2,2,1,77,1,2,77,3,77,77,77,97,2,2,2,2,2,97,97,3,1,1,2,2,2,2,2,3,1,77,1,2,5,2,21001939,2,2,1,1,2,1,2,1,1,3,2,77
1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,3,77,97,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,2,1,97,4.4728307597,1,1,1,1,1,1,1,97,97,1,2,97,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,97,97,1,1,1,1,2,1,1,98,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,3,1,1,2,2,2,2,2,2,1,2,1,2,5,1,21001941,1,1,1,1,1,1,2,1,2,2,2,1
1,2,1,3,1,1,3,2,1,1,2,2,1,2,2,97,1,97,2,2,1,2,2,1,1,1,1,2,2,2,2,98,97,1,2,97,5.6249092315,1,1,1,1,2,1,1,97,97,2,97,97,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,97,97,2,2,3,1,2,2,1,98,1,1,1,3,1,1,1,2,2,2,2,1,2,97,97,1,1,1,2,2,2,2,2,97,2,2,97,97,97,2,21001944,2,1,1,1,1,1,2,1,2,2,2,1
1,1,97,97,97,97,2,2,1,1,1,2,2,2,2,97,1,2,1,1,1,4,3,2,2,2,2,2,2,1,1,2,2,1,1,2,6.6220824902,1,1,1,1,1,2,1,97,97,2,97,2,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,77,77,3,2,1,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,2,1,1,1,1,1,1,1,1,2,2,97,2,2,97,97,97,2,21001946,2,2,1,1,2,1,1,1,2,3,2,1
77,2,1,1,1,1,4,2,1,2,2,2,2,2,2,97,2,2,1,2,1,1,5,1,1,98,1,98,98,2,2,2,97,2,1,2,5.6249092315,2,98,1,1,1,2,2,97,97,2,97,97,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,1,3,1,2,2,1,98,1,1,2,2,2,2,2,97,2,2,2,2,2,2,1,97,97,2,2,2,1,2,2,97,2,2,97,97,97,2,21001947,2,2,1,2,2,1,2,1,2,3,2,1
2,1,97,97,97,97,4,2,1,2,1,2,2,2,1,1,77,97,2,77,1,2,2,1,1,1,1,2,2,2,2,2,97,1,2,97,5.6249092315,1,1,1,2,1,2,1,97,97,2,97,97,2,1,2,1,2,2,2,2,2,2,2,2,1,77,77,97,97,2,2,1,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,2,21001948,2,2,2,2,2,1,2,1,1,2,2,1
1,2,1,1,1,1,4,1,1,1,77,2,2,2,2,97,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,97,1,2,97,5.6249092315,2,2,2,1,1,2,1,97,97,1,2,97,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,77,97,97,97,97,97,3,1,97,97,97,97,97,97,97,97,97,2,2,97,97,3,98,1,1,2,2,2,2,97,2,2,97,97,97,2,21001949,2,2,2,2,2,1,2,1,2,2,2,2
77,1,97,97,97,97,3,77,1,1,2,2,2,2,1,2,1,2,1,77,1,1,5,2,1,2,1,2,2,2,2,2,97,77,2,97,5.6249092315,77,1,1,1,77,2,77,97,97,2,97,97,1,1,1,1,77,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,1,1,97,2,2,2,77,2,97,97,97,97,77,2,2,2,2,2,97,77,2,97,97,97,77,21001952,2,1,1,1,1,1,2,1,1,2,2,1
1,77,97,97,97,97,77,77,1,1,77,77,77,77,2,97,2,97,77,2,1,77,4,2,1,1,1,2,2,2,2,2,97,77,1,97,5.6249092315,1,1,1,2,2,2,77,97,97,1,2,97,1,1,1,2,2,77,2,2,77,1,77,1,1,77,77,97,97,2,2,77,1,2,2,77,77,1,77,77,77,77,77,77,97,2,2,2,2,2,77,77,97,97,77,77,2,2,2,2,2,1,2,1,2,77,2,21001954,1,2,2,1,77,2,77,1,2,3,2,1
77,2,97,97,97,97,77,97,4,77,77,77,77,77,77,97,77,97,77,1,1,3,1,2,2,2,1,2,2,2,2,2,97,2,2,77,5.6249092315,77,1,1,1,77,77,77,97,97,2,97,97,1,1,1,1,77,2,77,77,2,2,1,1,77,2,2,97,97,2,2,1,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,2,97,97,97,97,2,77,1,77,77,2,97,77,2,97,97,97,2,21001956,77,1,1,77,77,1,77,1,77,77,2,1
1,1,1,3,1,1,4,97,4,2,1,77,2,2,2,97,1,97,2,2,1,5,1,1,1,1,1,2,2,2,2,2,97,77,2,97,5.6249092315,77,2,1,1,1,2,2,97,97,1,2,97,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,97,97,2,2,77,1,1,2,1,77,1,1,1,3,1,1,1,97,2,2,77,2,2,97,97,97,97,2,2,2,2,2,2,97,77,2,97,97,97,77,21001962,2,2,2,77,1,1,77,1,2,77,2,1
77,2,97,97,97,97,77,97,3,2,2,1,2,2,1,2,1,97,2,77,1,5,5,1,1,2,1,2,2,2,2,2,97,1,2,97,5.6249092315,1,2,1,2,2,1,2,97,97,2,97,97,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,97,97,2,2,2,97,97,97,97,97,3,2,97,97,97,97,97,1,97,97,97,1,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,77,21001963,2,1,1,1,2,1,2,1,2,2,2,2
3,2,97,97,97,97,4,2,1,1,1,2,2,2,2,97,2,2,1,97,2,97,97,2,2,2,1,2,2,2,2,2,97,1,2,97,5.6249092315,2,2,2,2,2,2,2,97,97,2,97,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,3,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,2,21001964,2,2,2,2,2,2,2,1,2,2,2,1
77,2,97,97,97,97,3,97,4,2,2,2,2,2,2,97,77,97,77,97,77,97,97,77,77,1,2,1,77,2,2,2,97,77,2,97,6.6220824902,97,97,97,97,97,97,97,97,97,2,97,97,77,2,2,2,2,2,2,2,1,2,1,1,1,2,2,97,97,3,2,2,1,2,77,77,77,1,2,3,3,3,3,3,97,77,77,77,2,2,97,97,97,97,2,2,2,2,2,2,97,77,2,97,97,97,77,21001967,2,2,77,1,77,1,77,1,2,2,1,77
1,2,97,97,97,97,4,97,4,2,2,2,2,2,2,97,1,97,2,2,1,1,5,1,1,2,1,2,2,2,2,2,97,77,2,97,5.6249092315,1,2,1,1,1,1,2,97,97,1,77,97,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,97,97,2,2,1,1,2,2,1,2,1,2,77,3,77,77,77,97,2,2,2,2,2,97,97,1,2,1,2,2,2,2,2,97,2,2,97,97,97,2,21001971,2,1,1,1,1,1,2,1,2,2,2,1
1,2,97,97,97,97,4,2,1,1,2,2,2,2,2,97,2,97,2,97,2,97,97,2,1,2,1,2,2,2,2,2,97,2,2,97,6.6220824902,97,97,97,97,97,97,97,97,97,2,97,97,2,2,2,2,2,2,2,2,2,1,77,1,1,2,2,97,97,3,2,1,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,2,21001973,2,2,2,2,2,2,2,1,2,2,2,2
2,2,1,1,1,1,4,2,1,2,2,1,2,2,2,97,77,97,77,1,1,98,2,1,1,2,1,2,2,2,2,2,97,2,2,97,5.6249092315,2,2,2,1,98,1,2,97,97,1,2,97,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,97,97,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,97,2,2,2,2,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,2,21001974,2,2,1,2,2,1,2,1,1,2,2,1
3,1,97,97,97,97,4,2,1,1,2,2,2,2,2,97,1,97,2,1,1,1,1,2,1,2,1,2,2,2,2,2,97,2,2,97,5.6249092315,1,1,1,1,1,2,2,97,97,1,2,97,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,97,97,2,2,2,1,2,2,2,2,1,2,1,77,77,77,77,97,77,77,2,77,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,77,21001976,2,1,1,1,1,1,2,1,2,3,2,1
2,2,97,97,97,97,4,97,4,2,2,2,2,2,2,97,1,97,2,1,1,1,5,1,1,2,2,2,2,2,2,2,97,1,2,97,5.6249092315,2,2,2,2,2,2,2,97,97,2,97,97,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,97,97,2,2,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,1,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,2,21001981,2,2,1,1,2,2,2,1,2,3,2,2
1,2,1,1,1,1,77,97,2,2,2,2,2,2,2,97,1,77,1,2,1,2,5,1,1,1,1,2,2,2,2,2,97,1,2,2,5.6249092315,1,1,1,1,1,2,2,97,97,2,97,97,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,77,77,2,2,1,97,97,97,97,97,3,1,97,97,97,97,97,2,97,97,97,1,2,97,97,97,97,77,77,1,98,98,2,97,2,2,97,97,97,2,21001982,1,1,1,1,2,1,2,1,2,2,2,1
2,2,97,97,97,97,3,2,1,1,1,1,2,2,1,2,1,97,2,1,1,3,5,1,1,1,1,1,1,2,2,2,97,1,2,2,5.6249092315,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,97,97,2,1,3,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,2,97,97,3,1,1,2,1,2,2,2,97,2,2,97,97,97,2,21001985,2,2,2,2,2,2,1,1,2,2,2,1
77,1,97,97,97,97,77,97,2,77,77,77,77,77,1,2,2,97,2,2,1,3,4,1,1,1,1,77,77,1,2,2,77,1,77,1,5.6249092315,2,1,1,1,1,1,1,98,97,1,1,97,1,1,1,1,2,98,1,1,1,1,1,1,1,1,1,97,97,2,2,77,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,77,2,97,97,97,97,77,2,1,1,1,2,97,77,77,97,97,97,77,21001986,1,77,77,77,77,77,77,1,77,1,2,1
2,1,1,77,1,1,4,2,1,1,1,2,2,2,1,2,1,97,77,2,1,2,3,1,1,98,1,1,98,2,2,2,97,1,2,97,5.6249092315,2,1,1,1,1,2,1,97,97,2,97,97,1,2,1,2,98,2,1,2,1,1,1,1,1,1,1,97,97,2,2,1,97,97,97,97,97,3,1,97,97,97,97,97,1,97,97,97,1,2,97,97,3,1,1,2,2,2,2,2,2,1,2,1,77,5,2,21001987,2,1,1,2,2,1,1,1,1,3,2,1
1,2,97,97,97,97,4,2,1,2,2,2,2,2,2,97,1,97,2,2,1,5,1,1,1,2,1,2,2,2,2,2,97,2,2,97,5.6249092315,2,1,1,1,1,2,2,97,97,1,2,97,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,97,97,2,2,3,97,97,97,97,97,3,2,97,97,97,97,97,2,97,97,97,1,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,2,21001990,1,1,1,1,1,1,2,1,2,3,2,1
3,2,97,97,97,97,4,97,4,2,2,2,2,2,2,97,2,97,2,97,2,97,97,2,2,2,2,2,2,2,2,2,97,2,2,97,6.6220824902,97,97,97,97,97,97,97,97,97,2,97,97,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,97,97,3,2,3,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,2,21001991,2,2,2,2,2,2,2,1,2,2,2,2
77,1,1,1,1,1,4,77,1,1,2,2,1,2,1,3,1,97,2,1,1,1,1,1,1,1,1,2,2,2,2,2,97,1,1,97,4.4728307597,1,1,1,1,2,2,1,97,97,2,97,97,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,97,97,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,97,97,2,98,2,2,2,2,3,1,2,1,1,1,77,21001993,2,1,1,1,1,1,2,1,2,3,2,2
1,2,97,97,97,97,4,2,1,1,1,2,2,2,2,97,1,97,77,1,1,2,2,1,1,1,1,2,2,2,2,2,97,1,2,97,5.6249092315,2,1,2,1,1,1,1,97,97,2,97,97,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,97,97,2,2,1,97,97,97,97,97,3,2,97,97,97,97,97,1,97,97,97,1,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,2,21001994,2,2,1,2,2,1,2,1,2,3,2,2
1,2,1,77,1,77,3,97,4,2,1,1,2,2,2,97,2,97,2,2,1,2,4,2,1,2,1,2,2,2,2,2,97,77,1,2,5.6249092315,77,2,1,1,1,77,1,97,97,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,97,97,2,1,2,97,97,97,97,97,3,1,97,97,97,97,97,97,97,97,97,2,2,2,1,97,97,2,2,1,2,2,2,97,77,77,97,97,97,2,21001995,2,1,1,2,2,77,2,1,2,2,2,1
1,2,1,1,1,1,4,77,1,1,2,2,2,2,2,97,1,97,2,1,1,1,5,1,1,2,1,2,2,2,2,2,97,2,2,97,5.6249092315,1,1,1,1,1,1,1,97,97,1,2,97,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,97,97,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,1,2,1,2,97,97,97,97,2,77,2,2,2,2,97,2,2,97,97,97,2,21001997,1,1,1,1,1,1,1,1,1,2,2,2
2,2,1,1,1,1,4,97,2,1,2,2,2,2,2,97,1,97,77,2,1,1,1,1,1,1,1,2,2,2,2,2,97,1,2,97,5.6249092315,1,2,1,2,1,2,1,97,97,1,2,97,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,97,97,2,1,2,97,97,97,97,97,3,1,97,97,97,97,97,97,97,97,97,2,2,97,97,97,97,2,2,2,2,2,2,1,1,2,1,2,1,2,21001999,2,2,1,2,2,1,2,1,2,2,2,1
1,2,1,1,1,1,77,2,1,1,77,77,1,77,1,3,1,1,1,77,1,3,5,1,1,2,1,2,2,2,2,1,98,1,2,98,5.6249092315,1,1,1,1,1,1,1,97,97,1,77,97,2,1,1,1,77,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,97,97,97,97,97,3,1,97,97,97,97,97,1,97,97,97,1,2,97,97,3,1,1,2,2,2,1,2,5,1,77,1,77,3,77,21002000,77,1,1,1,2,1,77,1,2,3,2,1
2,2,97,97,97,97,77,97,2,1,1,1,2,77,2,97,77,97,2,2,1,1,5,1,1,1,1,1,2,2,2,2,97,77,2,3,5.6249092315,2,2,1,1,1,2,2,97,97,2,97,77,1,2,1,2,2,1,2,2,2,2,2,1,1,2,1,97,97,2,2,1,97,97,97,97,97,2,2,1,1,1,1,1,97,2,2,2,2,2,97,97,97,97,2,2,1,2,1,2,97,2,2,97,97,97,2,21002006,2,1,1,2,1,1,2,1,2,3,2,2
2,2,1,2,1,2,4,2,1,1,2,2,2,2,2,97,77,2,1,2,1,2,5,1,1,1,1,2,2,2,2,2,97,2,2,2,5.6249092315,1,1,1,1,1,2,2,97,97,1,2,97,1,1,1,1,2,2,2,2,1,1,1,1,1,77,77,2,77,2,2,1,97,97,97,97,97,2,1,3,2,1,2,2,1,2,2,2,1,2,97,97,3,1,1,2,1,2,2,2,2,1,2,1,2,2,2,21002009,1,1,1,1,1,1,2,1,1,3,2,1
1,2,1,2,1,1,1,2,1,1,2,1,2,1,2,97,1,97,77,1,1,2,5,1,1,2,1,2,2,2,2,2,97,2,2,97,5.6249092315,2,2,2,2,2,2,2,97,97,2,97,97,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,97,97,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,97,97,2,1,1,2,2,2,2,2,97,2,2,97,97,97,2,21002011,2,1,1,1,1,1,2,1,2,3,2,1
3,2,97,97,97,97,4,97,4,2,2,2,2,2,2,97,77,97,77,2,1,5,4,2,1,1,1,2,2,2,2,2,97,2,2,97,5.6249092315,2,2,1,1,2,2,2,97,97,2,97,97,2,2,1,1,2,2,2,2,2,1,2,1,1,2,1,97,97,2,2,2,1,2,2,1,2,1,2,2,3,3,2,2,97,2,2,2,2,2,97,97,97,97,2,2,2,2,2,2,97,2,2,97,97,97,2,21002012,2,2,2,1,2,1,2,1,2,3,2,2
